date,kind,long,anchor_open,anchor_close,anchor_body,anchor_range,anchor_dir,body_high,body_low,sig_hm,sig_open,sig_close,entry_bid,entry_ask,entry_spread,entry,nearest25,dist25,t_entry,t_exit,stop_price,target_price,exit_price,exit_reason,mfe,mae,pnl,hold_min,equity,peak,dd
2026-02-26,A_SHORT,False,5185.855,5184.775,1.0799999999999272,6.235,BEAR,5185.855,5184.775,1140,5184.8,5180.36,5179.955,5180.805,0.8500000000003638,5179.955,5175.0,4.954999999999927,2026-02-26 19:05:00.290,2026-02-26 21:00:01.544,5195.455,5154.455,5195.562,SL,12.58,-103.006,-15.607,115.0209,117.213,148.39,31.176999999999992
2026-03-10,FLIP_LONG,True,5193.69,5189.365,4.324999999999818,9.505,BEAR,5193.69,5189.365,1145,5190.75,5196.06,5195.318,5196.822,1.5039999999999054,5196.822,5200.0,3.1779999999998836,2026-03-10 19:10:00.072,2026-03-10 21:03:20.758,5181.322,5222.322,5222.425,TP,26.193,-47.757,25.603,113.34476666666667,142.816,148.39,5.573999999999984
2026-03-31,A_SHORT,False,4684.565,4680.965,3.5999999999994543,25.05,BEAR,4684.565,4680.965,1140,4681.35,4677.075,4676.248,4678.162,1.9140000000006694,4676.248,4675.0,1.2479999999995925,2026-03-31 19:05:00.073,2026-03-31 19:39:57.064,4691.748,4650.748,4691.802,SL,8.733,-117.224,-15.554,34.94985,127.262,148.39,21.127999999999986
2026-04-19,A_SHORT,False,4780.365,4779.36,1.0050000000001091,8.706,BEAR,4780.365,4779.36,1140,4779.37,4776.18,4775.618,4776.882,1.2639999999992142,4775.618,4775.0,0.6180000000003929,2026-04-19 19:05:00.102,2026-04-19 19:43:13.572,4791.118,4750.118,4749.9220000000005,TP,38.253,-52.474,25.696,38.2245,152.958,152.958,0.0
2026-04-20,A_SHORT,False,4830.67,4827.86,2.8100000000004,6.47,BEAR,4830.67,4827.86,1140,4827.64,4826.57,4826.178,4827.162,0.9840000000003783,4826.178,4825.0,1.1779999999998836,2026-04-20 19:05:00.045,2026-04-20 23:16:30.195,4841.678,4800.678,4800.675,TP,157.057,-5.097,25.503,251.5025,178.461,178.461,0.0
2026-04-22,A_SHORT,False,4730.1,4726.12,3.980000000000473,6.235,BEAR,4730.1,4726.12,1140,4726.13,4724.635,4724.068,4725.032,0.9639999999999418,4724.068,4725.0,0.931999999999789,2026-04-22 19:05:01.704,2026-04-22 20:15:00.813,4739.568,4698.568,4698.352,TP,59.233,-30.147,25.716,69.98515,204.17700000000002,204.17700000000002,0.0
2026-04-30,A_SHORT,False,4632.54,4630.53,2.0100000000002183,3.88,BEAR,4632.54,4630.53,1140,4630.455,4629.54,4628.818,4630.302,1.4839999999994689,4628.818,4625.0,3.818000000000211,2026-04-30 19:05:00.034,2026-05-01 02:06:11.365,4644.318,4603.318,4603.3150000000005,TP,68.233,-31.857,25.503,421.18885,229.68,229.68,0.0
2026-05-04,FLIP_LONG,True,4519.121,4517.575,1.5460000000002765,3.87,BEAR,4519.121,4517.575,1145,4518.305,4519.61,4519.008,4520.102,1.094000000000051,4520.102,4525.0,4.898000000000138,2026-05-04 19:10:01.083,2026-05-04 22:43:48.224,4504.602,4545.602,4545.605,TP,66.313,-6.837,25.503,213.78568333333334,255.183,255.183,0.0
2026-05-06,A_SHORT,False,4698.67,4695.063,3.606999999999971,4.115,BEAR,4698.67,4695.063,1150,4697.22,4694.465,4694.075,4694.775,0.6999999999998181,4694.075,4700.0,5.925000000000182,2026-05-06 19:15:00.145,2026-05-06 21:12:47.734,4709.575,4668.575,4709.6449999999995,SL,8.69,-71.04,-15.57,117.79315,239.613,255.183,15.569999999999993
2026-05-17,A_SHORT,False,4549.85,4546.301,3.548999999999978,10.95,BEAR,4549.85,4546.301,1140,4546.306,4545.555,4544.895,4546.135,1.2399999999997817,4544.895,4550.0,5.104999999999563,2026-05-17 19:05:00.100,2026-05-17 20:24:27.183,4560.395,4519.395,4518.705000000001,TP,64.14,-39.66,26.19,79.45138333333334,265.803,265.803,0.0
2026-05-27,A_SHORT,False,4458.595,4457.576,1.0190000000002328,3.41,BEAR,4458.595,4457.576,1140,4457.591,4456.745,4455.815,4456.952,1.1370000000006257,4455.815,4450.0,5.8149999999996,2026-05-27 19:05:02.337,2026-05-27 21:21:59.009,4471.315,4430.315,4429.815,TP,88.96,-61.18,26.0,136.94453333333334,291.803,291.803,0.0
2026-05-28,FLIP_LONG,True,4495.661,4491.331,4.329999999999927,5.203,BEAR,4495.661,4491.331,1155,4494.861,4495.981,4495.508,4496.442,0.9340000000001965,4496.442,4500.0,3.5579999999999927,2026-05-28 19:20:00.790,2026-05-29 02:02:41.647,4480.942,4521.942,4522.145,TP,98.223,-7.757,25.703,402.68095,317.506,317.506,0.0
2026-06-04,A_SHORT,False,4475.25,4469.74,5.510000000000218,7.373,BEAR,4475.25,4469.74,1165,4471.793,4469.445,4469.095,4469.845,0.75,4469.095,4475.0,5.904999999999745,2026-06-04 19:30:00.245,2026-06-04 22:01:33.659,4484.595,4443.595,4443.145,TP,156.95,-7.15,25.95,151.5569,343.45599999999996,343.45599999999996,0.0
2026-06-24,A_SHORT,False,4002.206,3996.44,5.766000000000076,9.606,BEAR,4002.206,3996.44,1140,3996.515,3995.525,3994.948,3996.192,1.2440000000001419,3994.948,4000.0,5.052000000000135,2026-06-24 19:05:02.094,2026-06-24 19:35:21.793,4010.448,3969.448,4010.812,SL,31.633,-49.537,-15.864,30.328316666666666,327.592,343.45599999999996,15.863999999999976
2026-06-25,A_SHORT,False,4028.535,4026.455,2.0799999999999272,8.22,BEAR,4028.535,4026.455,1140,4026.405,4023.64,4023.008,4024.222,1.2140000000003965,4023.008,4025.0,1.9920000000001892,2026-06-25 19:05:00.776,2026-06-25 22:37:23.189,4038.508,3997.508,3997.4849999999997,TP,39.603,-73.537,25.523,212.37355,353.115,353.115,0.0
2026-07-07,FLIP_LONG,True,4101.18,4098.53,2.6500000000005457,5.42,BEAR,4101.18,4098.53,1140,4098.46,4102.025,4100.665,4103.185,2.5200000000004366,4103.185,4100.0,3.1850000000004,2026-07-07 19:05:01.656,2026-07-07 23:01:55.463,4087.6850000000004,4128.685,4128.735000000001,TP,30.5,-81.66,25.55,236.89678333333333,378.665,378.665,0.0
2026-07-09,FLIP_LONG,True,4123.92,4121.76,2.1599999999998545,3.075,BEAR,4123.92,4121.76,1145,4123.65,4124.47,4123.045,4125.795,2.75,4125.795,4125.0,0.7950000000000728,2026-07-09 19:10:00.202,2026-07-09 21:39:37.285,4110.295,4151.295,4110.235,SL,8.76,-53.21,-15.56,149.61805,363.105,378.665,15.560000000000002
2026-07-12,A_SHORT,False,4078.665,4076.665,2.0,11.66,BEAR,4078.665,4076.665,1140,4076.755,4070.625,4069.225,4072.005,2.7800000000002,4069.225,4075.0,5.775000000000091,2026-07-12 19:05:00.421,2026-07-12 19:57:38.581,4084.725,4043.725,4084.995,SL,82.36,-22.4,-15.77,52.636,347.33500000000004,378.665,31.329999999999984
2026-07-13,A_SHORT,False,4003.87,4001.955,1.9149999999999636,4.14,BEAR,4003.87,4001.955,1140,4002.075,4001.26,4000.215,4002.985,2.769999999999982,4000.215,4000.0,0.21500000000014552,2026-07-13 19:05:00.429,2026-07-13 22:11:36.915,4015.715,3974.715,4015.835,SL,16.07,-106.83,-15.62,186.6081,331.71500000000003,378.665,46.94999999999999
2026-07-14,A_SHORT,False,4050.77,4049.035,1.7350000000001273,2.535,BEAR,4050.77,4049.035,1150,4049.25,4047.675,4047.295,4048.115,0.819999999999709,4047.295,4050.0,2.7049999999999272,2026-07-14 19:15:00.977,2026-07-15 02:22:22.982,4062.795,4021.795,4021.755,TP,29.49,-34.34,25.54,427.36675,357.25500000000005,378.665,21.409999999999968
2026-07-20,FLIP_LONG,True,4004.165,4000.48,3.6849999999999454,8.985,BEAR,4004.165,4000.48,1140,4000.67,4004.44,4003.795,4005.225,1.4299999999998363,4005.225,4000.0,5.224999999999909,2026-07-20 19:05:00.007,2026-07-20 21:16:31.772,3989.725,4030.725,4030.775,TP,81.55,-5.08,25.55,131.52941666666666,382.80500000000006,382.80500000000006,0.0
2026-08-02,FLIP_LONG,True,4066.945,4064.135,2.8099999999999454,3.5,BEAR,4066.945,4064.135,1155,4066.61,4071.98,4071.525,4072.405,0.8800000000001091,4072.405,4075.0,2.5949999999998,2026-08-02 19:20:00.080,2026-08-02 20:43:56.042,4056.905,4097.905000000001,4056.8250000000003,SL,6.75,-53.49,-15.58,83.9327,367.2250000000001,382.80500000000006,15.579999999999984
2026-08-13,A_SHORT,False,4360.53,4355.05,5.479999999999563,7.475,BEAR,4360.53,4355.05,1140,4355.465,4349.76,4348.305,4351.145,2.8400000000001455,4348.305,4350.0,1.694999999999709,2026-08-13 19:05:00.466,2026-08-13 19:29:01.624,4363.805,4322.805,4363.805,SL,37.14,-49.04,-15.5,24.0193,351.7250000000001,382.80500000000006,31.079999999999984
